City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
273,Meulaboh,ID,77.94,overcast clouds,4.1363,96.1285,Kost Pria
274,Bambous Virieux,MU,77.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
275,Port Blair,IN,86.04,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
278,Ambanja,MG,84.04,clear sky,-13.6833,48.45,Hotel Salama and Fast Food
281,Caravelas,BR,73.8,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
282,Kaohsiung,TW,84.15,broken clouds,22.6163,120.3133,御宿商旅-中山館
291,Hambantota,LK,88.14,scattered clouds,6.1241,81.1185,Bungalow 63
293,Ulaangom,MN,82.9,broken clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
294,Shetpe,KZ,88.32,overcast clouds,44.1667,52.1167,Rtsm Shetpe Analog
296,Piranhas,BR,71.92,clear sky,-16.4269,-51.8222,Planalto Hotel
302,Rabaul,PG,80.37,broken clouds,-4.1967,152.1721,Rabaul Hotel
304,Mbeya,TZ,76.89,clear sky,-8.9,33.45,Leda Lodge
305,Kavieng,PG,82.27,few clouds,-2.5744,150.7967,Nusa Island Retreat
306,Betanzos,ES,72.25,broken clouds,43.2804,-8.2147,Hotel Garelos Betanzos
307,Talnakh,RU,76.21,broken clouds,69.4865,88.3972,Talnakh Hotel
308,Tabou,CI,77.14,moderate rain,4.423,-7.3528,hotêl doufoulougou
310,Banda Aceh,ID,81.0,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
313,Sangre Grande,TT,76.17,broken clouds,10.5835,-61.1177,Lotus drive
314,Westport,US,70.18,clear sky,41.1415,-73.3579,The Westport Inn
320,Kushima,JP,72.25,overcast clouds,31.4583,131.2333,Hanaoka
322,Krasnoselkup,RU,75.33,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
327,Katobu,ID,74.61,light rain,-4.9408,122.5276,La Ode Husein
329,Carupano,VE,75.51,few clouds,10.6678,-63.2585,Hotel La dorada
330,Boyolangu,ID,77.43,broken clouds,-8.1181,111.8935,Yos ega cv
332,Hutchinson,US,77.59,clear sky,38.0608,-97.9298,Hampton Inn Hutchinson
333,High Rock,BS,78.82,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
339,Quzhou,CN,77.07,broken clouds,28.9594,118.8686,Quzhou Jiujiu Business Hotel
341,Wukari,NG,85.57,broken clouds,7.85,9.7833,Elimtop
344,Mezen,RU,72.39,overcast clouds,65.8522,44.24,Gostevoy Dom Everest
349,Norsup,VU,79.45,scattered clouds,-16.0667,167.3833,Nabelchel Bungalows
351,Muli,MV,83.93,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
353,Labuhan,ID,81.36,broken clouds,-6.8844,112.2051,DoubleFAG
354,Kalmunai,LK,85.19,light rain,7.4167,81.8167,VS Villa
356,Barkot,IN,89.56,few clouds,30.8167,78.2,Camp Nirvana®
359,Itupiranga,BR,77.32,broken clouds,-5.1347,-49.3267,Hotel Panorama
361,Abay,KZ,71.98,scattered clouds,49.6311,72.8539,Guest House on Abaya 144
362,Tomatlan,MX,78.19,overcast clouds,19.9333,-105.25,El Salvial
366,Cockburn Town,TC,81.03,clear sky,21.4612,-71.1419,Osprey Beach Hotel
368,Peniche,PT,75.29,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
369,Hobyo,SO,85.64,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
371,Lazaro Cardenas,MX,78.31,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
373,Moyale,KE,80.35,broken clouds,3.5167,39.0584,La Tahzan Guest House
379,Mantes-La-Ville,FR,82.65,clear sky,48.9737,1.7025,Hôtel du Val de Seine
380,Marsh Harbour,BS,79.57,broken clouds,26.5412,-77.0636,Abaco Beach Resort
383,Roura,GF,82.96,overcast clouds,4.7263,-52.3274,Amazonie Découverte SARL
388,Abha,SA,89.85,few clouds,18.2164,42.5053,Abha Hotel
390,Nedjo,ET,75.69,light rain,9.5046,35.5019,Yerosan Hotel
395,Yabelo,ET,73.49,broken clouds,4.8833,38.0833,Asnakech W/michael
400,Newport,GB,73.69,overcast clouds,51.5877,-2.9984,ibis budget Newport
405,Angoche,MZ,81.61,clear sky,-16.2325,39.9086,Guest House HESADA
408,Ayagoz,KZ,76.1,overcast clouds,47.9714,80.4392,ХАН
410,Alvorada,BR,76.37,broken clouds,-12.48,-49.1247,Cristal Plaza Hotel
415,Gebre Guracha,ET,79.75,scattered clouds,9.8,38.4,Brehan Cafe
417,Turukhansk,RU,78.04,overcast clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
420,Tema,GH,81.97,light rain,5.667,-0.0166,Beulah Royale Hotel Tema
422,Carbondale,US,75.06,clear sky,37.7273,-89.2168,Best Western Saluki Inn
424,Merrill,US,72.37,clear sky,45.1805,-89.6835,Prairie Motel
426,Grand Gaube,MU,78.39,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
427,Santarem,BR,73.53,scattered clouds,-2.4431,-54.7083,Hotel Imperador
430,Jishou,CN,80.87,overcast clouds,28.3167,109.7167,7 Days Inn
432,Trincomalee,LK,87.42,overcast clouds,8.5711,81.2335,Welcombe Hotel
433,Portel,BR,73.67,broken clouds,-1.9356,-50.8211,Kitnet do Marcos
435,Pokhara,NP,82.72,broken clouds,28.2333,83.9833,OYO 170 Hotel View Point
439,Vao,NC,72.9,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
440,Komsomolskiy,UZ,88.52,light rain,40.4272,71.7189,Ikathouse
442,Biak,ID,76.3,overcast clouds,-0.9131,122.8766,Penginapan Kim
444,Maralal,KE,76.46,clear sky,1.0968,36.698,Ngari Hill Ecolodge
446,Kango,GA,87.69,scattered clouds,0.1943,10.0951,Hôtel Bar Restaurant Le Bercail
448,Axim,GH,79.66,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
451,Xuddur,SO,89.76,clear sky,4.1213,43.8894,Banjanay Hotel
453,Condoto,CO,71.28,overcast clouds,5.0935,-76.6497,Hotel Fabracha
459,Bubaque,GW,79.93,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
460,Kafanchan,NG,83.34,light rain,9.5833,8.3,Sir Joe guest Inn
464,Ixtapa,MX,80.22,overcast clouds,20.7,-105.2,hotel la terminal
467,Apodaca,MX,76.33,overcast clouds,25.7667,-100.2,Best Western Plus Monterrey Airport
469,Tabuk,PH,78.76,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
471,Benjamin Hill,MX,75.49,clear sky,30.1667,-111.1,Hotel Benjamín Hill
472,Boa Vista,BR,75.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
475,Bulancak,TR,76.82,scattered clouds,40.9372,38.2291,Başoğlu Bulancak Otel
477,Sao Joao Do Piaui,BR,77.86,scattered clouds,-8.3581,-42.2467,Nayra Palace Hotel
478,Ocos,GT,73.58,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
479,Kuryk,KZ,88.12,broken clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
484,Sibolga,ID,79.77,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
485,Tamugan,PH,78.24,broken clouds,7.2308,125.3764,Heavenly Farms
486,Port-Gentil,GA,76.75,clear sky,-0.7193,8.7815,Fengshui Residence
490,Luang Prabang,LA,74.53,overcast clouds,19.8856,102.1347,The Apsara
491,Macapa,BR,78.78,scattered clouds,0.0389,-51.0664,Atalanta Hotel
492,Tarakan,ID,82.24,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
493,Truth Or Consequences,US,73.63,clear sky,33.1284,-107.2528,Charles Hot Springs
496,Belyy Yar,RU,79.86,clear sky,53.6039,91.3903,Pasportnyy Stol
497,Wanning,CN,81.64,heavy intensity rain,18.8003,110.3967,Paradise Hotel
499,Krasnoarmeysk,RU,78.87,broken clouds,51.0239,45.6969,"Hotel ""Your home-Balzer"""
500,Makakilo City,US,75.56,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
501,Butajira,ET,79.84,scattered clouds,8.1167,38.3667,እናት መናፈሻ ( Enat Menafesha)
503,Itarema,BR,77.32,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
505,Corn Island,NI,77.65,overcast clouds,12.1694,-83.0418,Big Fish Guest House
507,Wenling,CN,73.15,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
513,Keti Bandar,PK,88.05,clear sky,24.1447,67.4497,Haji laloo memon house
516,Sorong,ID,81.46,moderate rain,-0.8833,131.25,Waigo Splash Hotel
517,Kingsville,US,81.28,clear sky,27.5159,-97.8561,Econo Lodge Kingsville
518,Nuqui,CO,74.89,overcast clouds,5.7125,-77.2708,Hotel Nuquimar
519,Kahului,US,76.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
521,Piacabucu,BR,76.46,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
526,Ahuimanu,US,76.75,few clouds,21.4447,-157.8378,Paradise Bay Resort
528,Lahaina,US,76.8,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
529,Harper,LR,77.5,moderate rain,4.375,-7.7169,Screensaver
532,Dawei,MM,83.91,broken clouds,14.0833,98.2,Hotel Dawei
535,Teknaf,BD,84.07,light rain,20.8624,92.3058,Forestry Guesthouse
537,Balabac,PH,83.26,broken clouds,7.9868,117.0645,Batalla’s Lodging House
539,Jingdezhen,CN,77.49,overcast clouds,29.2947,117.2079,Garden Hotel
540,Gitarama,RW,76.46,broken clouds,-2.0744,29.7567,Muhanga in Cyakabiri Motel
541,Sao Felix Do Xingu,BR,70.61,few clouds,-6.6447,-51.995,Rio Xingu Camping
542,Sortino,IT,85.37,clear sky,37.1566,15.026,casa nonna Gisaria
544,Pijijiapan,MX,73.49,overcast clouds,15.7011,-93.23,Hotel Rosita
547,Rangoon,MM,78.76,overcast clouds,16.8053,96.1561,Clover Hotel
550,Hoima,UG,84.13,clear sky,1.4356,31.3436,Tik Hotel
555,Chiredzi,ZW,85.48,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
559,Kanniyakumari,IN,84.83,broken clouds,8.0833,77.5667,Sparsa Kanyakumari
563,Bom Jardim,BR,73.9,broken clouds,-7.7958,-35.5872,Wilton Joaquim 8 Wilton
567,Saint-Denis,FR,83.05,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
568,Pathein,MM,83.86,light rain,16.7833,94.7333,Pathein Hotel
569,Manaure,CO,79.47,overcast clouds,11.7751,-72.4445,Hotel Palaaima
572,Vaitape,PF,80.73,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
573,Fengkou,CN,83.19,broken clouds,30.0833,113.2667,君悦大酒店
574,Goodyear,US,84.61,clear sky,33.4353,-112.3582,Best Western Phoenix Goodyear Inn
575,Yenagoa,NG,83.8,moderate rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
577,Jumla,NP,76.05,broken clouds,29.2747,82.1838,Royal Garden Hotel
578,Acajutla,SV,76.8,overcast clouds,13.5928,-89.8275,Laureles
579,Sambava,MG,77.94,light rain,-14.2667,50.1667,Melrose
581,Sola,VU,81.05,overcast clouds,-13.8833,167.55,Leumerus Bungalows
582,Tallahassee,US,73.24,scattered clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
587,Trairi,BR,76.87,scattered clouds,-3.2778,-39.2689,janelas do mar
588,Majene,ID,79.48,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
589,Liwale,TZ,87.93,clear sky,-9.7667,37.9333,Nakivubo Executive Lodge
593,Cayenne,GF,83.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
600,Mogadishu,SO,81.91,clear sky,2.0371,45.3438,Hotel Juba
606,Palu,ID,76.46,heavy intensity rain,-0.8917,119.8707,Hotel Santika Palu
609,Natal,BR,77.65,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
610,Tongliao,CN,72.82,broken clouds,43.6125,122.2653,Meirujia Hotel
612,Tomigusuku,JP,79.34,thunderstorm,26.185,127.675,Hotel Gran View Okinawa
613,Agde,FR,85.89,clear sky,43.3108,3.4758,CAPAO Beach Hôtel
616,Bushenyi,UG,78.15,scattered clouds,-0.5853,30.2114,College View Guest House
619,Catalina,US,75.6,clear sky,32.5056,-110.9211,Miraval Arizona Resort & Spa
621,Claveria,PH,81.61,overcast clouds,18.6074,121.0832,Casa Grand Inn By The Sea
624,Ewa Beach,US,76.98,clear sky,21.3156,-158.0072,Base Lodging
629,Ranong,TH,82.47,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
630,Ouargaye,BF,89.24,overcast clouds,11.5033,0.0572,Résidence le Cotonnier
631,Kauswagan,PH,80.94,broken clouds,8.1917,124.0847,Seaside Spectrum Hotel and Restaurant
635,Itaituba,BR,71.87,overcast clouds,-4.2761,-55.9836,Hotel Campos
636,Alanya,TR,80.73,clear sky,36.5438,31.9998,Panorama Hotel
637,Luau,AO,88.86,few clouds,-10.7073,22.2247,Casa- Bernardo Cândido
638,Mittersill,AT,81.55,broken clouds,47.2667,12.4833,Sporthotel Kogler
640,Cairns,AU,73.35,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
642,Ierapetra,GR,81.45,clear sky,35.01,25.7353,Cretan Villa Hotel & Apartments in Ierapetra Crete.
645,Kurumkan,RU,78.1,overcast clouds,54.3,110.3,Ilikchin
647,Leo,BF,89.65,overcast clouds,11.1,-2.1,Hotel Sissilis
651,Mahon,ES,86.56,clear sky,39.8885,4.2658,ARTIEM Capri
652,Mount Vernon,US,74.66,broken clouds,40.9126,-73.8371,Ramada by Wyndham Bronx
658,Cadillac,US,73.31,mist,44.2519,-85.4012,"Holiday Inn Express & Suites Cadillac, an IHG Hotel"
660,Sarangani,PH,84.43,scattered clouds,5.4033,125.4636,JVL Inn and Cafeteria
662,Kawalu,ID,74.82,broken clouds,-7.3817,108.2082,West Jontor
663,Pontianak,ID,80.58,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
667,Humberto De Campos,BR,77.59,few clouds,-2.5983,-43.4611,Pousada do Cabeça
671,Tukrah,LY,80.53,clear sky,32.5341,20.5791,Lagrota restaurant
674,Pahrump,US,73.45,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
675,Tarko-Sale,RU,71.8,overcast clouds,64.9225,77.785,Yubileynaya
680,Urengoy,RU,72.41,broken clouds,65.9667,78.3667,Gostinnitsa Medveditsa
