CityID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Feels like temp,Date
55,Rocha,UY,-34.4833,-54.3333,46.89,90,59,4.99,broken clouds,44.56,2022-06-15 10:49:40
56,Mbekenyera,TZ,-10.0,38.9833,91.27,31,0,1.48,clear sky,89.71,2022-06-15 10:58:56
57,Port Alfred,ZA,-33.5906,26.891,54.18,73,75,11.99,broken clouds,52.72,2022-06-15 10:51:58
58,Provideniya,RU,64.3833,-173.3,37.09,83,98,5.55,overcast clouds,32.63,2022-06-15 10:50:54
59,Avarua,CK,-21.2078,-159.775,75.25,83,75,6.91,light rain,76.39,2022-06-15 10:50:48
60,Haines Junction,CA,60.7522,-137.5108,48.15,66,94,5.75,overcast clouds,45.59,2022-06-15 10:58:57
61,Palmer,US,42.1584,-72.3287,63.9,86,2,5.1,clear sky,60.19,2022-06-15 10:53:17
62,New Norfolk,AU,-42.7826,147.0587,46.92,88,100,1.1,light rain,46.08,2022-06-15 10:52:02
63,Faanui,PF,-16.4833,-151.75,80.74,68,79,23.49,broken clouds,83.88,2022-06-15 10:58:57
64,Daru,PG,-9.0763,143.2092,79.23,89,59,15.17,broken clouds,79.23,2022-06-15 10:58:57
65,Hithadhoo,MV,-0.6,73.0833,82.81,71,37,5.46,scattered clouds,88.27,2022-06-15 10:49:34
66,Puerto Ayora,EC,-0.7393,-90.3518,70.56,93,85,5.99,overcast clouds,71.69,2022-06-15 10:49:35
67,Takoradi,GH,4.8845,-1.7554,80.35,77,100,13.0,light rain,84.52,2022-06-15 10:54:24
68,Camana,PE,-16.6228,-72.7111,60.85,84,97,7.45,overcast clouds,60.58,2022-06-15 10:58:58
69,Zhanaozen,KZ,43.3,52.8,94.33,18,83,13.62,broken clouds,90.39,2022-06-15 10:58:58
70,Mount Isa,AU,-20.7333,139.5,60.57,31,17,4.61,few clouds,57.78,2022-06-15 10:58:59
71,Pochutla,MX,15.7432,-96.4661,74.01,80,100,0.89,overcast clouds,74.88,2022-06-15 10:58:59
72,Busselton,AU,-33.65,115.3333,61.93,80,100,13.27,overcast clouds,61.59,2022-06-15 10:49:36
73,Ancud,CL,-41.8697,-73.8203,45.23,91,39,1.34,scattered clouds,45.23,2022-06-15 10:54:36
